new_investment,balance,promised_return,actual_return,label
23355.058829183024,31844.997955263327,2000.0,1510.0608739196982,0
21581.889536659994,48670.48298103412,6368.999591052666,4756.404510889207,0
20899.523400542057,61415.02684140239,9734.096596206824,8154.979540173787,0
32022.30023486418,82230.04553620992,12283.00536828048,11207.281540056641,0
21656.437370055555,88812.07701596076,16446.009107241985,15074.40589030471,0
29702.30821161776,105111.79926588273,17762.415403192153,13402.5859616958,0
32349.63019255433,118888.25970767825,21022.359853176546,18573.169750758796,0
34366.68044741078,134533.16025675557,23777.651941535652,18721.779898333476,0
32196.802349450874,147518.63542140435,26906.632051351116,19211.327184802085,0
32109.503317401755,154938.80047610798,29503.727084280872,24689.338262698126,0
27512.562158662484,157204.43843883707,30987.760095221598,25246.92419593339,0
31052.084092809826,165809.76848739572,31440.887687767416,22446.75404425116,0
31925.843233167812,170040.41353195923,33161.95369747915,27695.198188604296,0
36054.382439186666,172437.34986324934,34008.08270639185,33657.44610789657,0
25630.205296988446,173761.13548617676,34487.46997264987,24306.419674061028,0
17684.446778377645,162530.13947053373,34752.22709723535,28915.44279402067,0
20929.95655117407,152580.719383196,32506.027894106748,30879.376638511792,0
21002.5244228666,149852.85294714512,30516.143876639202,23730.39085891749,0
23697.379039288306,148748.18332944802,29970.570589429026,24802.0486569854,0
31707.56072653723,157981.19252347594,29749.636665889604,22474.551532509307,0
32839.95723218062,40900.45829061643,2000.0,1939.4989415641892,1
47203.142211947954,81038.97888025685,8180.091658123286,7064.6216223075335,1
18504.37253488263,89851.22842226605,16207.795776051371,9692.122992873426,1
43145.784535685685,116423.64974093353,17970.24568445321,16573.36321701821,1
20341.584508382333,115474.40472595472,23284.72994818671,21290.829523361146,1
44218.244413443106,141135.51682681357,23094.880945190947,18557.13231258424,1
18254.787599596202,133954.90419616533,28227.103365362716,25435.40023024444,1
10156.36406741194,125044.10736550711,26790.980839233067,19067.16089807016,1
11987.156815341723,124457.80262364926,25008.821473101423,12573.461557199576,1
17982.636061332076,121141.45278730514,24891.56052472985,21298.985897676197,1
19483.973813545403,127614.29365390025,24228.29055746103,13011.132946950293,1
21464.00133152528,124640.67234840337,25522.85873078005,24437.62263702216,1
22726.173775585812,130778.44365950956,24928.134469680677,16588.402464479626,1
23989.31941346966,132942.91689916592,26155.688731901915,21824.846173813297,1
20755.27414005677,131928.02435602425,26588.583379833188,21770.16668319844,1
35908.59879449712,161156.55977867334,26385.60487120485,6680.063371848024,1
29125.161382790917,177250.1498725988,32231.31195573467,13031.571288865463,1
27809.660694351503,197883.75568253273,35450.02997451976,7176.054884417551,1
35022.85507578587,222180.66185097798,39576.75113650655,10725.948907340615,1
20870.379277053667,235021.9794203777,44436.1323701956,8029.061707653934,1
19179.81290136745,27441.84755818162,2000.0,1737.96534318583,0
21937.01445015007,45126.540989201705,5488.369511636324,4252.3210191299895,0
24637.457460826772,62896.47567066157,9025.30819784034,6867.522779366902,0
17231.67855726069,70229.18692150587,12579.295134132315,9898.967306416398,0
38549.59069981278,96315.81882321261,14045.837384301174,12462.958798106045,0
40018.39203450538,117813.8698035028,19263.163764642522,18520.341054215176,0
28633.35027459559,127009.03937939221,23562.773960700564,19438.18069870618,0
37713.88492693344,140788.52688538664,25401.807875878443,23934.39742093901,0
31872.999194808912,145290.86989086156,28157.70537707733,27370.656189333993,0
12279.351625419418,133506.2080027601,29058.173978172315,24064.01351352088,0
26375.0926985163,138749.02017807067,26701.24160055202,21132.280523205736,0
18884.34128221957,134733.57657345402,27749.804035614136,22899.784886836216,0
20309.232394683244,134002.17500951313,26946.715314690806,21040.633958624127,0
41772.55863411916,154415.83539068646,26800.435001902628,21358.89825294582,0
36614.907616246324,166043.51592278577,30883.167078137296,24987.227084147016,0
22570.477450818205,162908.37097616022,33208.703184557155,25705.622397443763,0
19464.23057660101,156624.49389724017,32581.674195232044,25748.107655521053,0
35959.32873088095,168149.32700197198,31324.898779448034,24434.495626149157,0
15778.129743903046,159867.1839229437,33629.865400394396,24060.272822931332,0
16140.854976320195,147541.91536434338,31973.43678458874,28466.12353492049,0
28049.924366234965,36560.4716059574,2000.0,1489.4527602775631,1
15525.690893893756,45972.75607962669,7312.09432119148,6113.406420224465,1
20544.816840921067,60807.02133511653,9194.55121592534,5710.551585431226,1
17097.289158990665,67978.7449474733,12161.404267023307,9925.565546633889,1
17485.305530556914,73116.17457562605,13595.748989494661,12347.875902404168,1
32117.793672811662,95576.9296677897,14623.234915125211,9657.038580648015,1
21197.660084886025,99012.96687415586,19115.38593355794,17761.622878519862,1
39422.762503293634,128370.1916744191,19802.593374831173,10065.537703030384,1
19904.51150753687,130961.85205261507,25674.038334883822,17312.8511293409,1
15266.763577064889,124083.78184092409,26192.370410523014,22144.83378875587,1
25177.489853577546,135146.48162721228,24816.75636818482,14114.790067289343,1
40777.57880215815,159583.8828715691,27029.296325442458,16340.17755780132,1
41546.71778395451,181524.9223774872,31916.776574313822,19605.678278036397,1
31801.388503521277,185095.54022030873,36304.98447549744,28230.770660699753,1
29629.485608514613,177775.26013147505,37019.108044061744,36949.765697348295,1
46481.786069856505,207895.776651559,35555.05202629501,16361.269549772576,1
27340.263491851725,226440.03049573774,41579.1553303118,8796.009647672972,1
32793.15789853455,238453.05381462147,45288.00609914755,20780.134579650814,1
30196.92473312709,246945.5981806674,47690.6107629243,21704.38036708115,1
21140.729317403453,259954.33557563619,49389.11963613349,8131.991922434667,1
20862.35318392786,29113.941211065987,2000.0,1748.4119728618728,0
19275.75200015556,43154.712351717295,5822.788242213198,5234.980859504251,0
30814.103393699177,67136.48264282971,8630.94247034346,6832.333102586758,0
17764.89957577328,72876.0515016632,13427.296528565943,12025.330716939785,0
16462.953537482834,79057.32216112783,14575.210300332641,10281.682878018208,0
21869.095019627915,86317.45538790213,15811.464432225566,14608.961792853614,0
24964.516041671406,95791.71938564858,17263.491077580427,15490.25204392495,0
